NAME,COUNTY,HAS_RAIL,HAS_FERRY,HAS_BUS
Irwindale,Los Angeles,1,0,1
Bradbury,Los Angeles,0,0,0
Rialto,San Bernardino,0,0,0
San Dimas,Los Angeles,0,0,1
La Verne,Los Angeles,0,0,1
Claremont,Los Angeles,1,0,1
Westlake Village,Los Angeles,0,0,1
Agoura Hills,Los Angeles,0,0,1
Calabasas,Los Angeles,0,0,1
Azusa,Los Angeles,1,0,1
Hidden Hills,Los Angeles,0,0,0
Sierra Madre,Los Angeles,0,0,1
Arcadia,Los Angeles,1,0,1
Glendora,Los Angeles,0,0,1
Fontana,San Bernardino,1,0,1
Yucca Valley,San Bernardino,0,0,0
Duarte,Los Angeles,1,0,1
Monrovia,Los Angeles,1,0,1
San Bernardino,San Bernardino,0,0,0
Big Bear Lake,San Bernardino,0,0,0
Big Bear Lake,San Bernardino,0,0,0
San Bernardino,San Bernardino,0,0,0
Pasadena,Los Angeles,1,0,1
Twentynine Palms,San Bernardino,0,0,0
Big Bear Lake,San Bernardino,0,0,1
Glendale,Los Angeles,1,0,1
San Fernando,Los Angeles,0,0,1
Santa Clarita,Los Angeles,0,0,0
Santa Clarita,Los Angeles,0,0,0
Hesperia,San Bernardino,0,0,1
Santa Clarita,Los Angeles,1,0,0
Adelanto,San Bernardino,0,0,0
Adelanto,San Bernardino,0,0,0
Victorville,San Bernardino,0,0,1
Adelanto,San Bernardino,0,0,1
Palmdale,Los Angeles,1,0,0
Lancaster,Los Angeles,1,0,1
Needles,San Bernardino,0,0,1
King City,Monterey,0,0,1
King City,Monterey,0,0,0
Greenfield,Monterey,0,0,1
Greenfield,Monterey,0,0,0
Soledad,Monterey,0,0,0
Soledad,Monterey,0,0,0
Soledad,Monterey,0,0,0
Soledad,Monterey,0,0,1
Soledad,Monterey,0,0,0
Soledad,Monterey,0,0,0
Gonzales,Monterey,0,0,0
Gonzales,Monterey,0,0,0
Gonzales,Monterey,0,0,1
Carmel-by-the-Sea,Monterey,0,0,1
Carmel-by-the-Sea,Monterey,0,0,0
Monterey,Monterey,0,0,0
Del Rey Oaks,Monterey,0,0,1
Monterey,Monterey,0,0,1
Pacific Grove,Monterey,0,0,1
Seaside,Monterey,0,0,1
Salinas,Monterey,0,0,0
Marina,Monterey,0,0,1
Salinas,Monterey,0,0,1
Hollister,San Benito,0,0,0
Hollister,San Benito,0,0,0
San Juan Bautista,San Benito,0,0,1
Hollister,San Benito,0,0,0
Hollister,San Benito,0,0,1
Madera,Madera,0,0,0
Madera,Madera,0,0,1
Chowchilla,Madera,0,0,0
Chowchilla,Madera,0,0,0
Chowchilla,Madera,0,0,0
Chowchilla,Madera,0,0,1
Bishop,Inyo,0,0,0
Bishop,Inyo,0,0,0
Bishop,Inyo,0,0,0
Bishop,Inyo,0,0,1
Newark,Alameda,0,0,1
